id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
469,180302547,TT Cup,Ondrej Fiklik,Petr Vanek,2025-08-27 17:25:00,To Win,Home,,1.83,1.3888888888888888,31.759999999999998,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
485,180248314,TT Elite Series,Maciej Domin,Dawid Kosmal,2025-08-27 13:00:00,To Win,Away,,2.0,1.3333333333333333,50.0,,,2025-08-27 12:55:53,2025-08-27 12:55:53,
490,180248320,TT Elite Series,Krzysztof Kapik,Dawid Kosmal,2025-08-27 14:15:00,To Win,Home,,1.9,1.4285714285714286,32.999999999999986,,,2025-08-27 12:55:53,2025-08-27 12:55:53,
491,180248320,TT Elite Series,Krzysztof Kapik,Dawid Kosmal,2025-08-27 14:15:00,To Win,Away,,1.8,1.3333333333333333,35.00000000000001,,,2025-08-27 12:55:53,2025-08-27 12:55:53,
495,180248341,TT Elite Series,Mateusz Trela,Marcin Kowalczyk,2025-08-27 15:05:00,To Win,Away,,4.33,2.5,73.2,,,2025-08-27 12:55:54,2025-08-27 12:55:54,
497,180248324,TT Elite Series,Dawid Kosmal,Kacper Glazowski,2025-08-27 15:25:00,To Win,Home,,1.83,1.3333333333333333,37.25000000000001,,,2025-08-27 12:55:54,2025-08-27 12:55:54,
499,180248327,TT Elite Series,Maciej Domin,Kacper Glazowski,2025-08-27 16:10:00,Total,Under U 75.5,75.5,1.83,1.3333333333333333,37.25000000000001,,,2025-08-27 12:55:54,2025-08-27 12:55:54,
500,180248328,TT Elite Series,Tomasz Filbrandt,Dawid Kosmal,2025-08-27 16:35:00,To Win,Away,,2.2,1.3333333333333333,65.00000000000001,,,2025-08-27 12:55:54,2025-08-27 12:55:54,
511,180248356,TT Elite Series,Karol Wisniewski,Krzysztof Kapik,2025-08-27 19:00:00,To Win,Away,,2.1,1.4492753623188408,44.9,,,2025-08-27 12:55:55,2025-08-27 12:55:55,
512,180248357,TT Elite Series,Maciej Domin,Krzysztof Kapik,2025-08-27 19:25:00,To Win,Away,,2.2,1.36986301369863,60.60000000000001,,,2025-08-27 12:55:56,2025-08-27 12:55:56,
513,180248371,TT Elite Series,Stanislaw Wnek,Marcin Kowalczyk,2025-08-27 19:30:00,To Win,Away,,3.5,2.5,40.0,,,2025-08-27 12:55:56,2025-08-27 12:55:56,
514,180248358,TT Elite Series,Tomasz Filbrandt,Karol Wisniewski,2025-08-27 19:50:00,To Win,Home,,2.0,1.3888888888888888,43.99999999999999,,,2025-08-27 12:55:56,2025-08-27 12:55:56,
