id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
899,Czech Liga Pro,Milos Pospisil,Matej Pycha,2025-08-31 01:30:00,To Win,Home,,2.2,76.00000000000003,1.0,1.2000000000000002,Milos Pospisil,2025-08-30 08:18:39
901,Czech Liga Pro,Jaromir Cernik,Vaclav Kosar,2025-08-31 02:00:00,To Win,Home,,3.75,87.5,1.0,2.75,Jaromir Cernik,2025-08-30 08:18:39
909,Czech Liga Pro,Frantisek Briza,Kamil Novak,2025-08-31 02:30:00,To Win,Home,,3.25,62.5,0.0,-1.0,Kamil Novak,2025-08-30 08:18:39
1143,Czech Liga Pro,Michal Zahradka,Radek Rose,2025-08-31 10:00:00,Total,Under U 75.5,75.5,1.83,62.66666666666666,,,,2025-08-31 08:18:02
1227,Czech Liga Pro,Martin Stefek,Vitezslav Bosak,2025-08-31 10:00:00,Total,Under U 76.5,76.5,1.83,83.0,,,,2025-08-31 08:18:02
1145,Czech Liga Pro,Jan Kanera,Oleksandr Kolisnyk,2025-08-31 10:30:00,To Win,Away,,2.25,61.999999999999986,,,,2025-08-31 08:18:02
1149,Czech Liga Pro,Radek Rose,Jan Kanera,2025-08-31 11:00:00,Total,Under U 74.5,74.5,1.83,83.0,,,,2025-08-31 08:18:02
1150,Czech Liga Pro,Milan Smesny,Jiri Grohsgott,2025-08-31 11:30:00,To Win,Home,,2.37,89.60000000000001,,,,2025-08-31 08:18:02
1155,Czech Liga Pro,Michal Chalupa,Marcel Pikous,2025-08-31 11:30:00,To Win,Home,,2.37,77.75000000000001,,,,2025-08-31 08:18:02
1158,Czech Liga Pro,Jiri Grohsgott,Leos Havrda,2025-08-31 12:00:00,To Win,Away,,2.25,61.999999999999986,,,,2025-08-31 08:18:02
1160,Czech Liga Pro,Michal Zahradka,Jan Kanera,2025-08-31 12:00:00,Total,Under U 78.5,78.5,1.83,69.92857142857144,,,,2025-08-31 08:18:02
1163,Czech Liga Pro,Pavel Sprynar,Milan Smesny,2025-08-31 12:30:00,To Win,Away,,2.2,76.00000000000003,,,,2025-08-31 08:18:02
1229,Czech Liga Pro,Vitezslav Bosak,Tomas Hrabec,2025-08-31 12:30:00,Total,Over O 76.5,76.5,1.83,83.0,,,,2025-08-31 08:18:02
1167,Czech Liga Pro,Michael Sedlacek,Jakub Pilch,2025-08-31 14:00:00,To Win,Away,,2.5,87.5,,,,2025-08-31 08:18:02
1169,Czech Liga Pro,Martin Vizek,Vladislav Hampejs,2025-08-31 14:30:00,To Win,Away,,2.0,100.0,,,,2025-08-31 08:18:02
1170,Czech Liga Pro,Martin Vizek,Vladislav Hampejs,2025-08-31 14:30:00,Total,Over O 77.5,77.5,1.83,83.0,,,,2025-08-31 08:18:02
1177,Czech Liga Pro,Jakub Pilch,Michal Kratochvil,2025-08-31 15:00:00,To Win,Home,,3.0,125.0,,,,2025-08-31 08:18:02
1185,Czech Liga Pro,Laurent Lasota,Vladislav Hampejs,2025-08-31 16:30:00,To Win,Away,,1.9,89.99999999999999,,,,2025-08-31 08:18:02
1189,Czech Liga Pro,Matous Klimenta,Milan Klement,2025-08-31 18:00:00,To Win,Away,,2.62,109.60000000000004,,,,2025-08-31 08:18:02
1197,Czech Liga Pro,Michal Kratochvil,Jakub Pilch,2025-08-31 18:30:00,To Win,Away,,3.0,125.0,,,,2025-08-31 08:18:02
1198,Czech Liga Pro,Milan Klement,Robin Pacha,2025-08-31 19:00:00,To Win,Home,,2.62,109.60000000000004,,,,2025-08-31 08:18:02
1204,Czech Liga Pro,Jakub Pilch,Adam Pokorny,2025-08-31 19:30:00,To Win,Home,,2.25,68.75,,,,2025-08-31 08:18:02
1226,Czech Liga Pro,Jan Steffan,Tomas Regner,2025-09-01 02:30:00,To Win,Away,,3.5,75.0,0.0,-1.0,Jan Steffan,2025-08-31 08:18:02
1349,Czech Liga Pro,Pavel Smetka,Viktor Michna,2025-09-01 08:30:00,Total,Under U 76.5,76.5,1.83,52.500000000000014,,,,2025-09-01 08:22:30
